S.No,me,title,male,culture,dateOfBirth,mother,father,heir,house,spouse,book1,book2,book3,book4,book5,isAliveMother,isAliveFather,isAliveHeir,isAliveSpouse,isMarried,isNoble,age,numDeadRelations,boolDeadRelations,isPopular,popularity,isAlive
44,Danny Flint,,0,Northmen,,,,,House Flint,,0,0,1,0,1,,,,,0,0,,0,0,0,0.023411371,1
45,Barristan Selmy,Ser,1,Westeros,236,,,,House Selmy,,1,1,1,1,1,,,,,0,1,69,0,0,1,1,1
46,Jeyne Poole,,0,Northmen,,,,,House Poole,Ramsay Bolton,1,1,1,1,1,,,,1,1,0,,1,1,1,0.384615385,1
47,Albar Royce,Ser,1,,,,,,House Royce of the Gates of the Moon,,1,1,1,1,1,,,,,0,1,,0,0,0,0.033444816,1
48,Gwayne Gaunt,Ser,0,,,,,,House Gaunt,,0,0,1,0,0,,,,,0,1,,0,0,0,0.036789298,1
49,Robar Royce,Ser,1,Valemen,277,,,,House Royce,,1,1,1,1,0,,,,,0,1,22,1,1,0,0.096989967,0
50,Galazza Galare,Green Grace,0,Ghiscari,217,,,,Graces,,0,0,0,0,1,,,,,0,1,88,0,0,0,0.090301003,1
51,Vardis Egen,Ser,1,Valemen,249,,,,House Egen,,1,1,1,0,0,,,,,0,1,49,0,0,0,0.090301003,0
52,Arya Stark,Princess,0,Northmen,289,,,,House Stark,,1,1,1,1,1,,,,,0,1,16,8,1,1,1,1
53,Ryella Royce,,0,,,,,,House Royce,Arwood Frey,0,1,1,1,0,,,,1,1,0,,0,0,0,0.140468227,1
54,Medgar Tully,Lord Paramount of the Trident,1,Rivermen,,,,,House Tully,,0,0,0,0,0,,,,,0,1,,0,0,0,0.016722408,0
55,Morra,,0,,,,,,House Martell,,0,0,0,1,0,,,,,0,0,,0,0,0,0.010033445,1
56,Gawen Swann,Stonehelm,1,,152,,,,House Swann,,0,0,0,0,0,,,,,0,1,100,0,0,0,0.016722408,0
57,Wylis Manderly,Ser,1,,252,,,,House Manderly,,1,1,1,1,1,,,,,0,1,53,0,0,0,0.157190635,1
58,Munciter,Wisdom,1,,,,,,Alchemists' Guild,,0,1,0,0,0,,,,,0,1,,0,0,0,0.006688963,1
59,Cletus Yronwood,Ser,1,,,,,,House Yronwood,,0,0,0,1,1,,,,,0,1,,0,0,0,0.070234114,0
60,Alyn Stackspear,Ser,0,,,,,,House Stackspear,,1,1,1,1,1,,,,,0,1,,0,0,0,0.026755853,1
61,Qotho,Bloodrider,1,Dothraki,,,,,,,1,0,0,0,0,,,,,0,0,,0,0,0,0.063545151,0
62,Jorquen,Septon,1,,,,,,Night's Watch,,0,0,0,1,0,,,,,0,0,,0,0,0,0.003344482,1
63,Gascoyne,Ser,0,,,,,,House Martell,,0,0,0,1,1,,,,,0,1,,0,0,0,0.013377926,1
64,Coratt,,1,Vale mountain clans,,,,,Stone Crows,,1,0,0,0,0,,,,,0,0,,0,0,0,0.003344482,1
65,Calon,,0,Northmen,,,,,House Stark,,0,1,0,0,0,,,,,0,0,,0,0,0,0.013377926,1
66,Ysilla Royce,,1,Valemen,,,,,House Royce,Mychel Redfort,0,0,0,1,1,,,,1,1,0,,0,0,0,0.043478261,1
67,Briar,,0,Free Folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.010033445,1
68,Porridge,,1,,,,,,House Baratheon of Dragonstone,,0,0,1,0,0,,,,,0,0,,0,0,0,0.006688963,1
69,Rawney,Brother,1,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.010033445,1
70,Rus,,0,Ironmen,,,,,Drowned men,,0,0,0,1,0,,,,,0,0,,0,0,0,0.010033445,1
71,Rolland Uffering,Ser,1,,,,,,House Uffering,Rohanne Webber,0,0,0,0,0,,,,0,1,1,,0,0,0,0.023411371,1
72,Moryn Tyrell,,1,,,,,,House Tyrell,,1,1,1,1,1,,,,,0,0,,0,0,0,0.140468227,1
73,Walda Frey (daughter of Walton),,0,,280,,,,House Frey,,0,0,0,0,0,,,,,0,0,25,0,0,0,0,1
74,Nolla,Goodwife,0,,,,,,,,0,0,1,0,0,,,,,0,1,,0,0,0,0,1
75,Edric Dayne,Lord of Starfall,1,Dornishmen,287,,,,House Dayne,,1,1,1,1,0,,,,,0,1,18,0,0,0,0.08361204,1
76,Gregor Clegane,Ser,1,,265,,,,House Clegane,,1,1,1,1,1,,,,,0,1,35,1,1,1,0.836120401,0
77,Tyrion Tanner,,1,,300,,,,House Stokeworth,,0,0,0,1,1,,,,,0,0,5,0,0,0,0.050167224,1
78,Rhialta Vance,,0,,,,,,House Vance of Wayfarer's Rest,,0,0,0,1,0,,,,,0,0,,0,0,0,0.016722408,1
79,Trebor Jordayne,Lord of the Tor,0,,,,,,House Jordayne,,0,0,0,1,1,,,,,0,1,,0,0,0,0.016722408,1
80,Hubard Rambton,Ser,1,,,,,,House Rambton,,0,1,1,0,0,,,,,0,1,,0,0,0,0.02006689,0
81,Jon Umber (Smalljon),,1,Northmen,,,,,House Umber,,1,1,1,1,1,,,,,0,0,,0,0,0,0.070234114,0
82,Wat (Barleycorn),,1,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,0,,0,0,0,0.006688963,1
83,Ronnet Connington,Ser,1,,274,,,,House Connington,,0,1,1,1,1,,,,,0,1,31,0,0,0,0.113712375,1
84,Joan Swyft,,0,,,,,,House Swyft,,0,0,1,1,0,,,,,0,0,,0,0,0,0.023411371,1
85,Maerie (Goodwife),Goodwife,0,,,,,,,,0,0,1,0,0,,,,,0,1,,0,0,0,0.003344482,1
86,Sam Stoops,,1,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,0,,0,0,0,0.003344482,1
87,il,,0,,,,,,Second Sons,,0,0,0,0,1,,,,,0,0,,0,0,0,0.013377926,1
88,Zei,,0,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.013377926,1
89,Dagon Greyjoy,Lord Reaper of Pyke,1,Ironborn,,,,,House Greyjoy,,0,0,0,1,1,,,,,0,1,,0,0,0,0.073578595,1
90,Gerold Grafton,Gulltown,1,,,,,,House Grafton,,0,0,0,1,1,,,,,0,1,,0,0,0,0.023411371,1
91,Penny,,0,,281,,,,Second Sons,,0,0,1,0,1,,,,,0,0,24,0,0,0,0.18729097,1
92,Qarl Kenning,,0,Ironborn,,,,,House Kenning of Harlaw,,0,0,0,0,1,,,,,0,0,,0,0,0,0.006688963,1
93,Nestor Royce,Keeper of the Gates of the Moon,1,,,,,,House Royce of the Gates of the Moon,,1,1,1,1,1,,,,,0,1,,0,0,0,0.086956522,1
94,Lark,,1,Sistermen,,,,,Night's Watch,,0,1,1,0,0,,,,,0,0,,0,0,0,0.040133779,0
95,Varly,,0,northmen,,,,,House Stark,,1,0,0,0,0,,,,,0,0,,0,0,0,0.016722408,0
96,Beck,Goodman,1,,299,,,,,,0,0,1,0,0,,,,,0,1,6,0,0,0,0,1
97,Theo Wull,,1,Northern mountain clans,,,,,House Wull,,1,0,1,0,0,,,,,0,0,,0,0,0,0.02006689,0
98,Byron,Ser,0,,,,,,House Baelish,,0,0,0,1,1,,,,,0,1,,0,0,0,0.02006689,1
99,Roger Hogg,Ser,1,,,,,,House Hogg,,0,0,0,1,0,,,,,0,1,,0,0,0,0.026755853,1
100,Lucas yland,Ser,0,,,,,,House yland,,0,0,0,0,0,,,,,0,1,,0,0,0,0.003344482,1
101,Courtey Greenhill,Ser,0,,,,,,House Greenhill,,0,0,0,1,0,,,,,0,1,,0,0,0,0,1
102,rbo,,0,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.010033445,1
103,Robyn Rhysling,Ser,1,,,,,,House Rhysling,,0,0,0,0,0,,,,,0,1,,0,0,0,0.023411371,1
104,Balman Byrch,Ser,1,,,,,,House Byrch,Falyse Stokeworth,0,0,1,1,1,,,,0,1,1,,0,0,0,0.073578595,0
105,Willam Dustin,Barrowton,1,Northmen,,,,,House Dustin,Barbrey Ryswell,1,0,0,1,1,,,,1,1,1,,0,0,0,0.063545151,0
106,Meldred Merlyn,Lord of Pebbleton,0,Ironborn,,,,,House Merlyn,,0,1,1,1,1,,,,,0,1,,0,0,0,0.023411371,1
107,Mark Mullendore,Ser,1,,,,,,House Mullendore,,0,1,1,1,1,,,,,0,1,,0,0,0,0.050167224,1
108,Sarra Frey,,0,,285,,,,House Frey,,0,1,1,1,0,,,,,0,0,20,0,0,0,0.137123746,1
109,Jeyne Arryn,Eyrie,0,Vale,,,,,House Arryn,,0,0,0,0,0,,,,,0,1,,0,0,0,0.033444816,0
110,Orivel,Ser,1,,,,,,Kingsguard,,0,0,0,1,0,,,,,0,1,,0,0,0,0.003344482,1
111,Randa,,0,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.003344482,1
112,Daemon Sand,Ser,1,Dornish,,,,,House Allyrion,,0,0,1,1,1,,,,,0,1,,0,0,0,0.073578595,1
113,Dalbridge,,1,,254,,,,Night's Watch,,0,1,1,1,1,,,,,0,0,45,0,0,0,0.050167224,0
114,Jyzene,,0,,,,,,,,0,0,1,1,0,,,,,0,0,,0,0,0,0.013377926,1
115,Red Lamb,Ser,1,Lhazarene,,,,,House Targaryen,,0,0,0,0,0,,,,,0,1,,0,0,0,0,1
116,Tremond Gargalen,Salt Shore,0,Dornish,,,,,House Gargalen,,0,0,1,1,1,,,,,0,1,,0,0,0,0.023411371,1
117,Leo Tyrell (son of Victor),Ser,1,,,,,,House Tyrell,Alys Beesbury,0,0,1,1,0,,,,1,1,1,,0,0,0,0.130434783,1
118,Ryk,,1,Free folk,,,,,,Munda,0,0,1,1,1,,,,1,1,0,,0,0,0,0.026755853,1
119,Hazzea,,0,Ghiscari,295,,,,,,0,0,0,0,1,,,,,0,0,5,0,0,0,0.043478261,0
120,Corty Penrose,Ser,1,,,,,,House Penrose,,0,1,1,0,0,,,,,0,1,,0,0,0,0.160535117,0
121,Randyll Tarly,Horn Hill,1,,,,,,House Tarly,Melessa Florent,1,1,1,1,1,,,,1,1,1,,0,0,1,0.618729097,1
122,Ethan Glover,,1,Northmen,,,,,House Glover,,1,1,0,0,0,,,,,0,0,,0,0,0,0.033444816,0
123,Marq Piper,Ser,1,Rivermen,,,,,House Piper,,1,1,1,1,1,,,,,0,1,,0,0,0,0.140468227,1
124,Jon Connington,Lord of Griffin's Roost,1,Stormlands,263,,,,House Connington,,0,0,1,1,1,,,,,0,1,42,0,0,1,0.719063545,1
125,Perros Blackmont,,1,Dornish,,,,,House Blackmont,,0,0,1,1,0,,,,,0,0,,0,0,0,0.02006689,1
126,Alyn Haigh,,0,,256,,,,House Haigh,,0,1,1,1,0,,,,,0,0,49,0,0,0,0.073578595,1
127,Beqqo,,0,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.003344482,1
128,Satin,,1,,280,,,,Night's Watch,,0,1,1,1,1,,,,,0,0,25,0,0,0,0.10367893,1
129,Euron Greyjoy,,1,Ironborn,,Lady of House Sunderly,Quellon Greyjoy,,,,0,0,0,0,0,1,0,,,0,0,,4,1,1,0.739130435,1
130,Walton Stark,King in the North,1,,,,,,House Stark,,0,1,0,0,0,,,,,0,1,,0,0,0,0.010033445,1
131,Jory Cassel,Captain of the guard,1,Northmen,,,,,House Cassel,,1,1,1,0,1,,,,,0,1,,1,1,0,0.170568562,0
132,Tysha,,1,,271,,,,,Tyrion Lannister,1,1,1,0,1,,,,1,1,0,34,1,1,0,0.130434783,1
133,Grazdar zo Galare,Cupbearer,1,Ghiscari,,,,,House of Galare,,0,0,0,0,1,,,,,0,1,,0,0,0,0.010033445,1
134,Obella Sand,,0,Dornishmen,287,,,,House Martell,,0,0,1,1,1,,,,,0,0,18,1,1,0,0.10367893,1
135,Quaithe,,0,Asshai'i,,,,,,,0,1,1,1,1,,,,,0,0,,0,0,0,0.127090301,1
136,Harry Strickland,Captain-General,1,,,,,,House Strickland,,0,0,0,0,1,,,,,0,1,,0,0,0,0.076923077,1
137,Dick Crabb,,1,,,,,,House Crabb,,0,0,0,1,0,,,,,0,0,,0,0,0,0.070234114,0
138,Allard Seaworth,Lady Marya,1,,,,,,House Seaworth,,0,1,1,1,1,,,,,0,1,,0,0,0,0.063545151,0
139,Denys Arryn,Ser,0,,,,,,House Arryn,,0,0,1,1,0,,,,,0,1,,0,0,0,0.08361204,0
140,Amerei Frey,Lady of Darry,0,,282,,,,House Frey,Pate of the Blue Fork,0,1,1,1,0,,,,0,1,1,23,0,0,0,0.237458194,1
141,Jate Blackberry,,1,,,,,,House Blackberry,,0,0,1,0,0,,,,,0,0,,0,0,0,0.010033445,1
142,Merrett Frey,,1,Riverlands,262,,,,House Frey,Mariya Darry,1,1,1,1,1,,,,1,1,0,38,0,0,1,0.434782609,0
143,Brandon Stark,,1,Northmen,262,,,,House Stark,,1,1,1,0,1,,,,,0,0,20,0,0,1,0.347826087,0
144,Alyn Hunt,Ser,1,,,,,,House Hunt,,0,0,0,1,0,,,,,0,1,,0,0,0,0.013377926,1
145,Arron,,1,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.043478261,1
146,Werlag,,0,Ironborn,,,,,House Greyjoy,,0,1,0,0,0,,,,,0,0,,0,0,0,0.006688963,1
147,Otto Hightower,Ser,1,,,,,,House Hightower,,0,0,1,0,0,,,,,0,1,,0,0,1,0.371237458,0
148,Lyonel Selmy,Ser,1,,,,,,House Selmy,,0,0,1,0,0,,,,,0,1,,0,0,0,0.016722408,1
149,Woth,,1,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.030100334,0
150,Belis,Wisdom,1,,,,,,Alchemists' Guild,,0,0,1,0,0,,,,,0,1,,0,0,0,0.02006689,1
151,Anya Waynwood,Ironoaks,0,,,,,,House Waynwood,,1,1,1,1,1,,,,,0,1,,0,0,0,0.086956522,1
152,S'vrone,,0,Braavosi,,,,,,,0,0,0,0,0,,,,,0,0,,0,0,0,0.013377926,1
153,Gage,,0,,,,,,House Stark,,1,1,1,0,0,,,,,0,0,,0,0,0,0.033444816,1
154,Harlan Grandison,Ser,1,,,,,,House Grandison,,0,0,1,0,0,,,,,0,1,,0,0,0,0.016722408,0
155,Daeron Targaryen (son of Viserys I),Ser,1,,114,,,,House Targaryen,,0,0,0,0,0,,,,,0,1,16,0,0,0,0.227424749,0
156,Igon Vyrwel,,0,,,,,,House Vyrwel,,1,1,1,1,1,,,,,0,0,,0,0,0,0.026755853,1
157,Alekyne Florent,Brightwater,1,,,,,,House Florent,,0,1,1,1,0,,,,,0,1,,0,0,0,0.066889632,1
158,Bryce Caron,Nightsong,1,,,,,,House Caron,,1,1,0,0,1,,,,,0,1,,0,0,0,0.066889632,0
159,Lew (guard),,0,Northmen,,,,,House Stark,,0,0,0,0,0,,,,,0,0,,0,0,0,0,1
160,Mors Umber,Castellan,1,Northmen,235,,,,House Umber,,0,1,1,1,1,,,,,0,1,70,0,0,0,0.147157191,1
161,Jeyne Lothston,,0,,164,,,,House Lothston,,0,0,0,0,0,,,,,0,0,100,0,0,0,0.023411371,0
162,Roelle,Septa,0,,,,,,House Tarth,,0,0,0,1,0,,,,,0,0,,0,0,0,0,1
163,Edwyn Osgrey,Ser,1,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,1,,0,0,0,0.02006689,0
164,Harle the Handsome,,1,Free Folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.013377926,1
165,Alequo Adarys,,1,Tyroshi,,,,,Band of Nine,,0,0,0,0,0,,,,,0,0,,0,0,0,0.013377926,0
166,Galtry the Green,Ser,1,,,,,,,,0,0,0,0,0,,,,,0,1,,0,0,0,0.013377926,1
167,Lyonel Baratheon,Ser,1,,,,,,House Baratheon,,0,0,0,0,0,,,,,0,1,,0,0,0,0.056856187,0
168,Gareth the Grey,Ser,1,,,,,,,,0,0,0,0,0,,,,,0,1,,0,0,0,0.003344482,1
169,Lorren,,1,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.023411371,0
170,Tal Toraq,,1,Summer Isles,,,,,House Targaryen,,0,0,0,0,1,,,,,0,0,,0,0,0,0.023411371,1
171,Morros Slynt,Lord,1,,,,,,House Slynt,,0,1,1,0,0,,,,,0,1,,0,0,0,0.043478261,1
172,Cersei Frey,,0,,292,,,,House Frey,,0,1,1,1,0,,,,,0,0,13,0,0,0,0.133779264,1
173,Addam,Ser,1,,,,,,,,0,0,0,0,0,,,,,0,1,,0,0,0,0.006688963,1
174,Bethany (Blushing Bethany),,0,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.016722408,1
175,Cadwyn,Ser,0,,,,,,House Lannister,,0,1,0,0,0,,,,,0,1,,0,0,0,0,1
176,Humfrey Wagstaff,Ser,0,,230,,,,House Wagstaff,,0,0,0,1,0,,,,,0,1,75,0,0,0,0.016722408,1
177,Burton Crakehall,Ser,1,,,,,,House Crakehall,,1,1,1,1,0,,,,,0,1,,0,0,0,0.036789298,0
178,Gawen Westerling,Crag,1,Westermen,,,,,House Westerling,Sybell Spicer,1,1,1,1,1,,,,1,1,1,,0,0,0,0.08361204,1
179,Andrey Charlton,Ser,1,,,,,,House Charlton,,0,1,0,0,0,,,,,0,1,,0,0,0,0.013377926,0
180,Forley Prester,Ser,1,,,,,,House Prester,,1,1,1,1,0,,,,,0,1,,0,0,0,0.063545151,1
181,Aegon III Targaryen,,1,Valyrian,,Rhaenyra Targaryen,Daemon Targaryen,Daeron I Targaryen,,,0,0,0,0,0,1,0,0,,0,0,,8,1,1,0.62541806,0
182,Jaehaera Targaryen,PrincessQueen,0,Valyrian,123,,,,House Targaryen,Aegon III Targaryen,0,0,0,0,0,,,,0,1,1,10,0,0,0,0.280936455,0
183,Dhazzar,Cupbearer,0,Ghiscari,,,,,,,0,0,0,0,1,,,,,0,1,,0,0,0,0.013377926,1
184,Arryk (guard),,0,,,,,,House Tyrell,,0,0,0,0,0,,,,,0,0,,0,0,0,0,1
185,Jan Tyrell,,0,,,,,,House Tyrell,Jon Fossoway,1,1,1,1,1,,,,1,1,0,,0,0,0,0.177257525,1
186,Arwyn Frey,,0,,285,,,,House Frey,,0,1,1,1,1,,,,,0,0,20,0,0,0,0.046822742,1
187,Brandon Stark (Bad),King in the North,1,Northmen,,,,,House Stark,,0,1,0,0,0,,,,,0,1,,0,0,0,0.016722408,1
188,Roggo,,0,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.013377926,1
189,Gilwood Hunter,Ser,1,,250,,,,House Hunter,,0,0,1,1,1,,,,,0,1,55,0,0,0,0.040133779,1
190,Alaric of Eysen,,0,,,,,,,,0,0,1,1,0,,,,,0,0,,0,0,0,0.016722408,1
191,Lem (Standfast),,0,,161,,,,House Osgrey,,0,0,0,0,0,,,,,0,0,100,0,0,0,0.013377926,0
192,Harwood Stout,Goldgrass,1,Northmen,,,,,House Stout,,0,0,0,1,1,,,,,0,1,,0,0,0,0.053511706,1
193,Bella,,0,,283,,,,,,0,0,1,1,0,,,,,0,0,22,0,0,0,0.08361204,1
194,Rodrik Freeborn,,1,Ironborn,,,,,,,0,0,0,1,1,,,,,0,0,,0,0,0,0.013377926,1
195,Samwell Stone,Ser,1,,,,,,House Royce,,0,0,0,1,0,,,,,0,1,,0,0,0,0.013377926,1
196,Harmund Sharp,,1,Ironborn,,,,,House Sharp,,0,0,0,1,0,,,,,0,0,,0,0,0,0.010033445,1
197,Jeyne Darry,,1,Westeros,,,,,House Darry,Cleos Frey,0,0,1,1,0,,,,0,1,0,,0,0,0,0.076923077,1
198,Xhondo,,1,Summer Isles,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.02006689,1
199,Grey Worm,,1,,,,,,Unsullied,,0,0,1,1,1,,,,,0,0,,0,0,0,0.140468227,1
200,Wenda,,0,,,,,,Kingswood Brotherhood,,0,0,1,1,0,,,,,0,0,,0,0,0,0.016722408,1
201,Jacelyn Bywater,Ser,1,,,,,,House Bywater,,0,1,1,1,0,,,,,0,1,,0,0,0,0.130434783,0
202,Nymella Toland,Ghost Hill,0,Dornish,,,,,House Toland,,0,0,1,1,1,,,,,0,1,,0,0,0,0.043478261,1
203,Garth Hightower,Ser,0,,,,,,House Hightower,,0,0,0,1,0,,,,,0,1,,0,0,0,0.050167224,1
204,Steffon Swyft,Ser,1,,,,,,House Swyft,,0,0,1,1,1,,,,,0,1,,0,0,0,0.030100334,1
205,Donnel Haigh,Ser,1,,255,,,,House Haigh,,0,1,1,1,0,,,,,0,1,50,0,0,0,0.086956522,1
206,Rodrik Greyjoy,,1,Ironborn,274,,,,House Greyjoy,,1,1,1,1,1,,,,,0,0,15,4,1,0,0.153846154,0
207,Jaehaerys II Targaryen,,1,,,Betha Blackwood,Aegon V Targaryen,Aerys II Targaryen,,,0,0,0,0,0,1,0,0,,0,0,,0,0,1,0.494983278,0
208,Bloodbeard,,0,,,,,,Company of the Cat,,0,0,0,0,1,,,,,0,0,,0,0,0,0.090301003,1
209,Lenyl,,1,Free Folk,,,,,,,0,0,1,1,1,,,,,0,0,,0,0,0,0.010033445,1
210,Tybolt Lannister,Ser,1,Westerman,,,,,House Lannister,Teora Kyndall,0,0,0,0,0,,,,1,1,1,,0,0,0,0.076923077,0
211,Wallen,,0,,,,,,Night's Watch,,1,0,0,0,0,,,,,0,0,,0,0,0,0.02006689,0
212,Pia,,0,,,,,,House Whent,,0,1,1,1,0,,,,,0,0,,0,0,0,0.046822742,1
213,Sylva Santagar,Greenstone,0,Dornish,276,,,,House Santagar,Eldon Estermont,0,0,0,1,0,,,,1,1,1,29,0,0,0,0.043478261,1
214,Rodrik Harlaw,Harlaw,1,Ironborn,,,,,House Harlaw,,0,1,1,1,1,,,,,0,1,,0,0,0,0.160535117,1
215,Ottyn Wythers,Ser,0,,230,,,,House Wythers,,0,1,1,0,0,,,,,0,1,69,0,0,0,0.043478261,0
216,Aemon Estermont,Ser,1,Stormlands,,,,,House Estermont,,0,1,1,1,1,,,,,0,1,,0,0,0,0.030100334,1
217,Steffon Seaworth,,1,,293,,,,House Seaworth,,0,1,1,1,1,,,,,0,0,12,0,0,0,0.063545151,1
